,ret,bin
2015-06-18,0.034238864437205585,1
2015-06-23,-0.005912066770011881,-1
2015-07-15,0.006262004578567071,1
2015-07-30,0.030397098928813593,1
2015-08-04,0.014756289216881768,1
2015-08-18,3.2559366687001656e-05,1
2015-08-24,-0.0030344484327945453,-1
2015-09-01,0.0004554251411172938,1
2015-09-09,0.02222922145840167,1
2015-09-21,0.04350536257083881,1
2015-09-29,-0.05729025483283445,-1
2015-10-05,-0.008303092470131168,-1
2015-10-12,0.034393907747967134,1
2015-10-15,0.015899931773209364,1
2015-11-04,0.023813855868860312,1
2015-11-10,-0.038078239942766934,-1
2015-11-18,0.004798007092151391,1
2015-11-20,-0.027723234493015614,-1
2015-11-27,0.008460432888777403,1
2015-12-09,0.0313233113259217,1
2015-12-15,-0.08046535002339461,-1
2016-01-06,-0.042302606893341754,-1
2016-01-07,0.0012770491267224404,1
2016-01-20,0.011332875589449953,1
2016-01-21,0.05479606206598464,1
2016-01-22,-0.0004019699975589264,-1
2016-02-01,-0.018565189795986203,-1
2016-02-04,-0.06672557838921989,-1
2016-02-11,0.002315330623553491,1
2016-02-15,0.01021227263244362,1
2016-02-19,-0.046100259568141344,-1
2016-02-25,0.07881900698449051,1
2016-02-29,0.07968470819229889,1
2016-03-01,0.03383992900534172,1
2016-03-08,0.03285056018246402,1
2016-03-10,0.011675776978591346,1
2016-04-05,0.0461623120231327,1
2016-04-08,0.08403653875520445,1
2016-04-12,0.026960992785715954,1
2016-04-13,-0.00097827617568913,-1
2016-04-22,0.0038783982490915303,1
2016-04-26,-0.019862801616407633,-1
2016-05-11,0.006118207735990477,1
2016-05-25,0.01995843692721233,1
2016-06-03,-0.01972525320987073,-1
2016-06-24,0.02878334385617287,1
2016-06-30,-0.011009724889459727,-1
2016-07-12,0.01013628193074445,1
2016-07-15,0.01755329046171772,1
2016-07-27,0.04505121739903317,1
2016-07-28,0.12638972380600988,1
2016-08-02,-0.024959680639417225,-1
2016-08-22,0.0518931426028193,1
2016-08-30,0.02539425249220839,1
2016-09-06,0.001748189560154989,1
2016-09-08,-0.02921993682850088,-1
2016-09-12,0.05030943015477396,1
2016-09-16,0.005113779185447642,1
2016-09-29,0.044570339336288844,1
2016-10-03,0.006609614114791773,1
2016-10-25,0.015160586143319721,1
2016-11-04,-0.15044230931650582,-1
2016-11-09,-0.04797013805781791,-1
2016-11-11,-0.06754622491773365,-1
2016-11-15,-0.012204342099539134,-1
2016-11-16,-0.040744951248970374,-1
2016-11-21,0.008919107019773831,1
2016-11-22,0.031127208448681776,1
2016-11-29,0.0287827574934576,1
